epoch;batch;time;loss;pearson_correlation
0;0;0.513;1.06941;0.385
0;1;0.199;1.06014;0.476
0;2;0.195;0.85421;0.444
0;3;0.198;0.91405;0.424
0;4;0.198;0.88876;0.412
0;5;0.195;0.9933;0.384
0;6;0.196;0.95428;0.348
0;7;0.196;0.64551;0.316
0;8;0.198;0.81125;0.323
0;9;0.198;0.71194;0.33
0;10;0.197;0.77911;0.322
0;11;0.197;0.93472;0.318
0;12;0.196;0.73854;0.34
0;13;0.199;0.91382;0.357
0;14;0.199;0.86071;0.359
0;15;0.197;0.97121;0.353
0;16;0.198;0.81272;0.355
0;17;0.197;1.11375;0.353
0;18;0.199;1.09069;0.344
0;19;0.2;1.05816;0.347
0;20;0.196;0.89096;0.365
0;21;0.197;0.74944;0.365
0;22;0.197;0.88905;0.365
0;23;0.198;1.28206;0.359
0;24;0.2;1.12018;0.349
0;25;0.11;0.88908;0.346
1;0;0.525;0.95755;0.551
1;1;0.204;0.90797;0.614
1;2;0.206;0.7383;0.596
1;3;0.208;0.84305;0.57
1;4;0.206;0.79408;0.569
1;5;0.205;0.94086;0.517
1;6;0.203;0.87651;0.487
1;7;0.206;0.60642;0.46
1;8;0.206;0.69764;0.473
1;9;0.207;0.62429;0.481
1;10;0.205;0.70581;0.473
1;11;0.206;0.84765;0.472
1;12;0.205;0.62688;0.488
1;13;0.204;0.77869;0.505
1;14;0.208;0.74931;0.508
1;15;0.207;0.88946;0.504
1;16;0.206;0.71075;0.505
1;17;0.205;0.99993;0.506
1;18;0.201;0.97951;0.499
1;19;0.204;0.93324;0.502
1;20;0.208;0.74106;0.516
1;21;0.208;0.66792;0.517
1;22;0.205;0.8028;0.516
1;23;0.202;1.13896;0.514
1;24;0.202;1.03418;0.507
1;25;0.082;0.79519;0.505
2;0;0.528;0.87738;0.623
2;1;0.206;0.78139;0.682
2;2;0.209;0.62872;0.665
2;3;0.206;0.77398;0.637
2;4;0.203;0.67222;0.641
2;5;0.202;0.91275;0.589
2;6;0.203;0.79109;0.565
2;7;0.206;0.55812;0.543
2;8;0.206;0.61064;0.556
2;9;0.203;0.54491;0.563
2;10;0.204;0.62714;0.555
2;11;0.207;0.77411;0.554
2;12;0.206;0.52436;0.565
2;13;0.204;0.65642;0.58
2;14;0.202;0.59715;0.585
2;15;0.202;0.81919;0.581
2;16;0.205;0.6093;0.582
2;17;0.207;0.9102;0.584
2;18;0.206;0.86571;0.581
2;19;0.204;0.80102;0.583
2;20;0.203;0.56844;0.595
2;21;0.203;0.56678;0.597
2;22;0.205;0.75104;0.595
2;23;0.203;0.99027;0.596
2;24;0.204;0.94709;0.591
2;25;0.084;0.66438;0.59
3;0;0.525;0.8728;0.663
3;1;0.204;0.69604;0.722
3;2;0.207;0.55889;0.706
3;3;0.204;0.75371;0.676
3;4;0.202;0.59228;0.681
3;5;0.2;0.9056;0.638
3;6;0.201;0.75225;0.62
3;7;0.207;0.53941;0.601
3;8;0.205;0.58788;0.611
3;9;0.204;0.5126;0.618
3;10;0.204;0.58255;0.609
3;11;0.204;0.76387;0.608
3;12;0.207;0.48863;0.614
3;13;0.203;0.60196;0.625
3;14;0.201;0.46879;0.631
3;15;0.199;0.79972;0.627
3;16;0.204;0.54099;0.628
3;17;0.206;0.88133;0.63
3;18;0.204;0.78321;0.629
3;19;0.206;0.70729;0.631
3;20;0.203;0.43337;0.642
3;21;0.206;0.50326;0.643
3;22;0.205;0.75757;0.641
3;23;0.203;0.85686;0.644
3;24;0.2;0.89215;0.641
3;25;0.08;0.56341;0.641
4;0;0.529;0.83589;0.707
4;1;0.202;0.57385;0.759
4;2;0.205;0.49482;0.742
4;3;0.207;0.71468;0.713
4;4;0.203;0.52872;0.718
4;5;0.201;0.84624;0.685
4;6;0.204;0.74367;0.667
4;7;0.21;0.5268;0.65
4;8;0.207;0.55449;0.656
4;9;0.201;0.45577;0.665
4;10;0.2;0.56383;0.655
4;11;0.201;0.73199;0.654
4;12;0.207;0.49645;0.655
4;13;0.206;0.53719;0.665
4;14;0.205;0.41439;0.67
4;15;0.202;0.75535;0.665
4;16;0.203;0.48342;0.666
4;17;0.209;0.79396;0.668
4;18;0.203;0.70205;0.668
4;19;0.202;0.63565;0.67
4;20;0.199;0.35126;0.679
4;21;0.202;0.45494;0.681
4;22;0.206;0.76331;0.677
4;23;0.203;0.68876;0.682
4;24;0.203;0.83061;0.679
4;25;0.081;0.49291;0.68
5;0;0.525;0.8788;0.722
5;1;0.206;0.5366;0.77
5;2;0.211;0.49122;0.758
5;3;0.205;0.76262;0.726
5;4;0.203;0.52601;0.731
5;5;0.202;0.81025;0.706
5;6;0.204;0.75414;0.694
5;7;0.213;0.51825;0.68
5;8;0.206;0.63218;0.681
5;9;0.202;0.47307;0.69
5;10;0.202;0.59558;0.679
5;11;0.202;0.75548;0.678
5;12;0.205;0.57771;0.675
5;13;0.206;0.57588;0.683
5;14;0.205;0.44265;0.687
5;15;0.204;0.78205;0.681
5;16;0.206;0.45836;0.683
5;17;0.205;0.78401;0.686
5;18;0.204;0.6956;0.686
5;19;0.201;0.63919;0.688
5;20;0.202;0.35211;0.695
5;21;0.205;0.47752;0.696
5;22;0.208;0.83409;0.693
5;23;0.206;0.63963;0.698
5;24;0.203;0.83365;0.697
5;25;0.081;0.50279;0.697
6;0;0.53;0.86505;0.726
6;1;0.206;0.47291;0.778
6;2;0.206;0.48308;0.761
6;3;0.204;0.76592;0.727
6;4;0.203;0.50892;0.731
6;5;0.202;0.74713;0.713
6;6;0.2;0.74095;0.703
6;7;0.207;0.48266;0.691
6;8;0.207;0.65452;0.688
6;9;0.204;0.4495;0.697
6;10;0.204;0.60734;0.686
6;11;0.203;0.73021;0.686
6;12;0.204;0.62707;0.681
6;13;0.204;0.55713;0.688
6;14;0.203;0.47993;0.691
6;15;0.204;0.76168;0.685
6;16;0.204;0.42949;0.688
6;17;0.207;0.73715;0.691
6;18;0.206;0.68423;0.691
6;19;0.203;0.64842;0.693
6;20;0.204;0.34713;0.7
6;21;0.201;0.47443;0.7
6;22;0.204;0.84258;0.696
6;23;0.206;0.58668;0.702
6;24;0.206;0.79978;0.701
6;25;0.084;0.50105;0.702
7;0;0.523;0.84838;0.733
7;1;0.205;0.43561;0.784
7;2;0.205;0.46894;0.767
7;3;0.21;0.75642;0.73
7;4;0.202;0.4769;0.735
7;5;0.203;0.69495;0.721
7;6;0.201;0.71927;0.712
7;7;0.205;0.44043;0.703
7;8;0.206;0.665;0.697
7;9;0.204;0.42141;0.705
7;10;0.206;0.62417;0.695
7;11;0.204;0.70251;0.694
7;12;0.207;0.66194;0.688
7;13;0.204;0.54464;0.695
7;14;0.203;0.50973;0.696
7;15;0.203;0.74011;0.69
7;16;0.202;0.40668;0.694
7;17;0.206;0.693;0.698
7;18;0.207;0.67819;0.697
7;19;0.204;0.65462;0.698
7;20;0.204;0.3421;0.705
7;21;0.204;0.4707;0.705
7;22;0.205;0.83823;0.701
7;23;0.205;0.56767;0.707
7;24;0.205;0.7742;0.706
7;25;0.085;0.49759;0.706
8;0;0.519;0.87663;0.726
8;1;0.201;0.4391;0.781
8;2;0.207;0.47278;0.764
8;3;0.208;0.78581;0.725
8;4;0.206;0.46481;0.731
8;5;0.202;0.68262;0.719
8;6;0.204;0.72344;0.712
8;7;0.209;0.41655;0.705
8;8;0.204;0.68178;0.698
8;9;0.202;0.43303;0.706
8;10;0.201;0.65249;0.694
8;11;0.202;0.71537;0.693
8;12;0.207;0.66921;0.686
8;13;0.207;0.56853;0.692
8;14;0.205;0.53498;0.694
8;15;0.203;0.74487;0.688
8;16;0.204;0.39367;0.692
8;17;0.205;0.69681;0.696
8;18;0.203;0.6926;0.695
8;19;0.203;0.64288;0.697
