epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;0;2.378;0.168;0.0;1.11122;-0.012
0;1;0.208;0.001;0.0;1.11918;0.102
0;2;0.536;0.001;0.0;1.17931;0.028
0;3;0.552;0.001;0.0;1.10856;0.092
0;4;0.541;0.001;0.0;1.5246;0.073
0;5;0.551;0.0;0.0;1.29435;0.062
0;6;0.543;0.0;0.0;1.7899;-0.026
0;7;0.552;0.0;0.0;1.32368;-0.026
0;8;0.55;0.001;0.0;1.32474;-0.025
0;9;0.549;0.0;0.0;1.60956;-0.013
0;10;0.552;0.0;0.0;1.05706;0.003
0;11;0.549;0.001;0.0;1.47419;0.0
0;12;0.549;0.001;1e-07;1.42449;0.009
0;13;0.555;0.0;1e-07;1.05162;0.005
0;14;0.546;0.001;1e-07;1.31322;-0.024
0;15;0.554;0.001;1e-07;0.86461;-0.005
0;16;0.543;0.001;1e-07;1.26651;-0.013
0;17;0.552;0.001;1e-07;0.89982;0.003
0;18;0.549;0.001;1e-07;1.17765;0.011
0;19;0.549;0.0;1e-07;1.16839;-0.006
0;20;0.55;0.001;1e-07;1.39417;-0.004
0;21;0.556;0.0;1e-07;1.30787;0.005
0;22;0.547;0.001;1e-07;1.30493;-0.006
0;23;0.56;0.001;1e-07;1.2603;-0.009
0;24;0.542;0.001;1e-07;1.03252;-0.007
0;25;0.552;0.001;1e-07;1.097;-0.015
0;26;0.55;0.0;1e-07;1.26084;-0.022
0;27;0.551;0.0;1e-07;1.51162;-0.029
0;28;0.553;0.001;1e-07;0.89486;-0.024
0;29;0.556;0.0;1e-07;0.95614;-0.025
0;30;0.546;0.001;1e-07;1.0065;-0.025
0;31;0.553;0.0;1e-07;1.45868;-0.036
0;32;0.557;0.0;2e-07;1.0697;-0.026
0;33;0.554;0.0;2e-07;1.39191;-0.029
0;34;0.552;0.0;2e-07;0.85002;-0.022
0;35;0.551;0.001;2e-07;1.01722;-0.025
0;36;0.55;0.0;2e-07;1.67481;-0.023
0;37;0.552;0.001;2e-07;1.03723;-0.021
0;38;0.557;0.001;2e-07;0.55816;-0.012
0;39;0.553;0.0;2e-07;1.45658;-0.015
0;40;0.558;0.001;2e-07;1.01354;-0.015
0;41;0.554;0.001;2e-07;0.94801;-0.016
0;42;0.556;0.0;2e-07;1.26236;-0.02
0;43;0.552;0.001;2e-07;1.16122;-0.016
0;44;0.557;0.0;2e-07;1.24936;-0.016
0;45;0.561;0.001;2e-07;1.27568;-0.013
0;46;0.558;0.0;2e-07;1.53062;-0.009
0;47;0.562;0.001;2e-07;1.19552;-0.006
0;48;0.553;0.0;2e-07;1.31019;-0.004
0;49;0.558;0.001;2e-07;1.05291;-0.003
0;50;0.562;0.001;2e-07;1.10574;0.0
0;51;0.56;0.001;2e-07;1.19677;0.002
0;52;0.561;0.001;3e-07;1.02508;-0.0
0;53;0.559;0.0;3e-07;1.04245;0.0
0;54;0.555;0.001;3e-07;1.1059;-0.002
0;55;0.563;0.001;3e-07;0.9394;-0.002
0;56;0.56;0.0;3e-07;1.17056;-0.002
0;57;0.559;0.0;3e-07;1.26245;-0.007
0;58;0.559;0.0;3e-07;0.87869;-0.007
0;59;0.563;0.0;3e-07;0.75887;-0.004
0;60;0.56;0.0;3e-07;0.96577;-0.002
0;61;0.562;0.001;3e-07;0.80727;0.004
0;62;0.563;0.001;3e-07;1.03764;0.007
0;63;0.565;0.001;3e-07;1.19088;0.005
0;64;0.566;0.0;3e-07;0.9887;0.004
0;65;0.563;0.0;3e-07;1.23001;0.007
0;66;0.538;0.0;3e-07;1.44223;0.004
0;67;0.588;0.001;3e-07;1.49215;0.007
0;68;0.561;0.001;3e-07;1.02975;0.008
0;69;0.565;0.0;3e-07;1.47808;0.005
0;70;0.567;0.001;3e-07;0.80614;0.006
0;71;0.556;0.0;3e-07;1.29449;0.006
0;72;0.563;0.001;3e-07;1.2131;0.004
0;73;0.565;0.001;4e-07;1.27683;0.003
0;74;0.566;0.001;4e-07;0.73645;0.008
0;75;0.567;0.001;4e-07;1.37533;0.01
0;76;0.57;0.0;4e-07;0.85258;0.011
0;77;0.571;0.001;4e-07;1.32395;0.01
0;78;0.576;0.001;4e-07;1.28359;0.011
0;79;0.559;0.001;4e-07;0.96876;0.013
0;80;0.563;0.001;4e-07;1.05445;0.013
0;81;0.565;0.0;4e-07;1.09154;0.014
0;82;0.568;0.0;4e-07;1.20254;0.01
0;83;0.572;0.0;4e-07;0.98585;0.011
0;84;0.571;0.0;4e-07;1.33579;0.012
0;85;0.562;0.0;4e-07;1.20771;0.01
0;86;0.567;0.001;4e-07;1.20551;0.011
0;87;0.567;0.0;4e-07;1.14992;0.012
0;88;0.568;0.001;4e-07;1.07678;0.013
0;89;0.569;0.0;4e-07;0.90004;0.01
0;90;0.571;0.0;4e-07;0.9399;0.01
0;91;0.569;0.001;4e-07;1.00362;0.009
0;92;0.574;0.0;4e-07;1.27562;0.007
0;93;0.568;0.0;5e-07;1.09905;0.01
0;94;0.578;0.0;5e-07;0.88856;0.007
0;95;0.574;0.001;5e-07;1.53437;0.007
0;96;0.566;0.001;5e-07;1.05543;0.007
0;97;0.567;0.0;5e-07;0.92743;0.009
0;98;0.579;0.001;5e-07;1.41887;0.008
0;99;0.574;0.001;5e-07;0.84428;0.012
0;100;0.573;0.001;5e-07;1.03603;0.013
0;101;0.567;0.001;5e-07;0.85403;0.012
0;102;0.578;0.0;5e-07;1.52741;0.014
0;103;0.562;0.001;5e-07;0.82329;0.011
0;104;0.58;0.001;5e-07;1.12124;0.013
0;105;0.57;0.0;5e-07;1.29599;0.014
0;106;0.578;0.0;5e-07;0.93286;0.014
0;107;0.57;0.001;5e-07;1.00653;0.015
0;108;0.581;0.001;5e-07;0.96583;0.019
0;109;0.57;0.001;5e-07;0.97686;0.017
0;110;0.579;0.001;5e-07;1.34501;0.016
0;111;0.571;0.001;5e-07;1.03652;0.012
0;112;0.575;0.001;5e-07;0.85524;0.015
0;113;0.573;0.001;6e-07;1.20985;0.018
0;114;0.576;0.001;6e-07;0.91775;0.019
0;115;0.577;0.0;6e-07;1.04363;0.02
0;116;0.576;0.0;6e-07;1.08028;0.019
0;117;0.577;0.001;6e-07;1.03695;0.024
0;118;0.581;0.0;6e-07;1.40016;0.021
0;119;0.575;0.0;6e-07;1.09815;0.019
0;120;0.578;0.001;6e-07;1.10435;0.019
0;121;0.578;0.001;6e-07;0.95606;0.018
0;122;0.587;0.0;6e-07;0.97549;0.018
0;123;0.575;0.001;6e-07;0.86111;0.02
0;124;0.575;0.001;6e-07;0.99448;0.021
0;125;0.576;0.0;6e-07;0.96363;0.023
0;126;0.58;0.0;6e-07;0.90424;0.023
0;127;0.585;0.0;6e-07;1.29117;0.024
0;128;0.582;0.001;6e-07;0.84973;0.024
0;129;0.573;0.001;6e-07;0.92562;0.023
0;130;0.586;0.001;6e-07;1.26247;0.024
0;131;0.582;0.0;6e-07;0.75797;0.027
0;132;0.581;0.001;6e-07;1.02974;0.027
0;133;0.575;0.001;7e-07;1.07413;0.025
0;134;0.588;0.0;7e-07;0.81315;0.027
0;135;0.576;0.001;7e-07;1.20326;0.028
0;136;0.588;0.0;7e-07;1.07477;0.029
0;137;0.581;0.001;7e-07;1.08425;0.03
0;138;0.574;0.0;7e-07;1.05725;0.031
0;139;0.589;0.001;7e-07;1.40759;0.031
0;140;0.583;0.001;7e-07;1.03535;0.032
0;141;0.586;0.0;7e-07;1.15457;0.034
0;142;0.587;0.001;7e-07;1.27074;0.035
0;143;0.584;0.001;7e-07;0.85806;0.035
0;144;0.584;0.0;7e-07;0.89784;0.036
0;145;0.589;0.0;7e-07;1.09532;0.036
0;146;0.585;0.0;7e-07;1.16639;0.037
0;147;0.587;0.001;7e-07;0.90786;0.035
0;148;0.588;0.001;7e-07;1.14047;0.035
0;149;0.592;0.0;7e-07;0.85436;0.032
0;150;0.583;0.0;7e-07;0.8369;0.034
0;151;0.589;0.001;7e-07;1.25092;0.037
0;152;0.587;0.0;7e-07;1.14296;0.039
0;153;0.588;0.0;7e-07;1.12557;0.04
0;154;0.59;0.0;8e-07;1.00396;0.039
0;155;0.587;0.001;8e-07;0.85762;0.038
0;156;0.592;0.0;8e-07;1.37872;0.038
0;157;0.59;0.001;8e-07;1.22793;0.035
0;158;0.588;0.0;8e-07;0.8627;0.034
0;159;0.59;0.001;8e-07;1.17897;0.032
0;160;0.59;0.001;8e-07;0.92401;0.031
0;161;0.589;0.0;8e-07;0.97603;0.032
0;162;0.592;0.0;8e-07;0.99409;0.034
0;163;0.594;0.001;8e-07;1.07368;0.036
0;164;0.601;0.0;8e-07;0.99908;0.037
0;165;0.595;0.001;8e-07;1.15657;0.038
0;166;0.585;0.0;8e-07;0.85594;0.037
0;167;0.595;0.001;8e-07;0.95019;0.037
0;168;0.597;0.001;8e-07;1.19844;0.037
0;169;0.588;0.001;8e-07;1.0667;0.037
0;170;0.596;0.001;8e-07;1.00776;0.038
0;171;0.598;0.001;8e-07;1.08704;0.038
0;172;0.597;0.0;8e-07;0.94103;0.036
0;173;0.595;0.001;8e-07;1.04535;0.038
0;174;0.598;0.0;9e-07;1.11743;0.037
0;175;0.596;0.0;9e-07;0.86947;0.037
0;176;0.595;0.0;9e-07;1.01084;0.038
0;177;0.603;0.0;9e-07;1.34812;0.036
0;178;0.596;0.001;9e-07;0.98646;0.037
0;179;0.599;0.0;9e-07;0.79475;0.038
0;180;0.6;0.0;9e-07;0.96286;0.039
0;181;0.599;0.0;9e-07;0.96183;0.04
0;182;0.596;0.001;9e-07;1.07426;0.041
0;183;0.604;0.0;9e-07;0.97713;0.041
0;184;0.605;0.001;9e-07;1.29987;0.039
0;185;0.582;0.001;9e-07;1.0229;0.04
0;186;0.6;0.001;9e-07;1.17629;0.04
0;187;0.6;0.001;9e-07;1.0032;0.041
0;188;0.601;0.001;9e-07;1.18627;0.041
0;189;0.596;0.0;9e-07;1.22493;0.041
0;190;0.598;0.0;9e-07;1.03668;0.042
0;191;0.601;0.001;9e-07;1.09713;0.041
0;192;0.597;0.001;9e-07;1.00685;0.043
0;193;0.599;0.001;9e-07;1.03313;0.044
0;194;0.6;0.0;1e-06;1.16633;0.046
0;195;0.605;0.0;1e-06;0.89685;0.046
0;196;0.594;0.0;1e-06;0.80787;0.048
0;197;0.602;0.001;1e-06;0.87194;0.048
0;198;0.602;0.0;1e-06;0.88921;0.047
0;199;0.605;0.001;1e-06;1.18013;0.05
0;200;0.599;0.001;1e-06;1.25683;0.052
0;201;0.601;0.0;1e-06;0.69155;0.053
0;202;0.59;0.0;1e-06;0.91645;0.056
1;0;0.31;0.035;1e-06;0.77888;0.518
1;1;0.594;0.001;0.0;1.03587;0.178
1;2;0.604;0.001;0.0;1.09862;0.268
1;3;0.597;0.001;0.0;1.26244;0.186
1;4;0.608;0.001;0.0;1.05622;0.126
1;5;0.604;0.001;0.0;1.22848;0.076
1;6;0.613;0.0;0.0;0.76193;0.135
1;7;0.602;0.001;0.0;1.03869;0.138
1;8;0.612;0.0;0.0;0.97945;0.108
1;9;0.607;0.0;0.0;0.90356;0.147
1;10;0.603;0.001;0.0;0.94517;0.166
1;11;0.61;0.0;1e-07;1.12146;0.151
1;12;0.602;0.0;1e-07;1.0088;0.142
1;13;0.61;0.001;1e-07;0.8277;0.156
1;14;0.61;0.001;1e-07;1.20728;0.15
1;15;0.605;0.001;1e-07;1.14606;0.137
1;16;0.613;0.0;1e-07;1.00309;0.14
1;17;0.598;0.001;1e-07;0.89816;0.149
1;18;0.61;0.001;1e-07;1.29632;0.137
1;19;0.605;0.0;1e-07;0.94103;0.137
1;20;0.615;0.001;1e-07;1.22418;0.132
1;21;0.609;0.0;1e-07;0.81841;0.133
1;22;0.608;0.0;1e-07;0.63757;0.14
1;23;0.615;0.0;1e-07;0.86715;0.143
1;24;0.617;0.001;1e-07;0.79263;0.152
1;25;0.605;0.001;1e-07;0.80577;0.164
1;26;0.609;0.001;1e-07;0.95506;0.159
1;27;0.617;0.0;1e-07;0.95793;0.165
1;28;0.609;0.0;1e-07;0.95656;0.166
1;29;0.606;0.0;1e-07;1.21317;0.16
1;30;0.614;0.001;1e-07;0.90687;0.158
1;31;0.614;0.0;2e-07;0.76272;0.161
1;32;0.62;0.001;2e-07;0.8663;0.173
1;33;0.613;0.0;2e-07;1.04424;0.171
1;34;0.62;0.0;2e-07;0.88479;0.173
1;35;0.607;0.0;2e-07;0.6993;0.18
1;36;0.616;0.0;2e-07;1.07607;0.177
1;37;0.614;0.001;2e-07;0.6623;0.18
1;38;0.615;0.001;2e-07;1.00282;0.177
