epoch;batch;time;loss;pearson_correlation
0;0;0.219;0.6704;0.673
0;1;0.097;0.69948;0.665
0;2;0.096;0.28696;0.716
0;3;0.098;0.91569;0.642
0;4;0.096;0.83141;0.604
0;5;0.099;0.58336;0.612
0;6;0.099;0.98062;0.574
0;7;0.096;0.46907;0.571
0;8;0.101;0.41871;0.587
0;9;0.097;0.60931;0.581
0;10;0.097;0.47036;0.587
0;11;0.096;0.91712;0.571
0;12;0.094;0.49743;0.577
0;13;0.096;0.40865;0.594
0;14;0.098;0.53025;0.6
0;15;0.1;0.7411;0.596
0;16;0.099;0.52189;0.599
0;17;0.099;0.80086;0.598
0;18;0.101;0.80573;0.595
0;19;0.098;0.64581;0.599
0;20;0.098;0.48449;0.607
0;21;0.097;0.57308;0.605
0;22;0.095;1.03577;0.592
0;23;0.095;0.84951;0.592
0;24;0.098;0.65961;0.595
0;25;0.041;0.64615;0.594
1;0;0.213;1.08921;0.483
1;1;0.099;0.97173;0.505
1;2;0.102;0.35497;0.602
1;3;0.102;1.4789;0.516
1;4;0.097;1.49201;0.468
1;5;0.101;0.79861;0.49
1;6;0.099;1.61195;0.446
1;7;0.098;0.80417;0.456
1;8;0.103;0.46809;0.487
1;9;0.099;0.8435;0.489
1;10;0.099;0.61138;0.509
1;11;0.098;1.68125;0.477
1;12;0.102;0.89766;0.482
1;13;0.099;0.43553;0.505
1;14;0.1;0.61485;0.519
1;15;0.101;0.74961;0.526
1;16;0.099;0.85822;0.528
1;17;0.101;0.9248;0.528
1;18;0.1;1.20799;0.523
1;19;0.1;1.00364;0.523
1;20;0.098;0.32599;0.54
1;21;0.101;0.95881;0.537
1;22;0.099;1.51304;0.522
1;23;0.101;1.22084;0.519
1;24;0.103;1.03799;0.518
1;25;0.04;1.4024;0.515
2;0;0.226;0.75933;0.706
2;1;0.099;0.76296;0.699
2;2;0.105;0.40277;0.731
2;3;0.106;0.91443;0.683
2;4;0.105;0.64419;0.67
2;5;0.106;0.48796;0.682
2;6;0.101;0.87591;0.656
2;7;0.106;0.3322;0.653
2;8;0.107;0.67889;0.65
2;9;0.103;0.57651;0.649
2;10;0.101;0.54994;0.643
2;11;0.102;0.79013;0.633
2;12;0.103;0.4843;0.637
2;13;0.107;0.63143;0.643
2;14;0.106;0.58068;0.645
2;15;0.102;0.55765;0.646
2;16;0.104;0.57406;0.647
2;17;0.107;1.07132;0.64
2;18;0.106;0.61784;0.643
2;19;0.102;0.82311;0.641
2;20;0.103;0.46702;0.648
2;21;0.102;0.64686;0.643
2;22;0.106;0.94003;0.636
2;23;0.107;0.75395;0.639
2;24;0.104;0.8717;0.636
2;25;0.04;0.45493;0.636
3;0;0.225;0.91747;0.682
3;1;0.103;0.72933;0.683
3;2;0.111;0.478;0.683
3;3;0.108;0.87334;0.655
3;4;0.107;0.83576;0.632
3;5;0.111;0.42139;0.655
3;6;0.106;1.00977;0.625
3;7;0.111;0.61488;0.614
3;8;0.108;0.84615;0.606
3;9;0.109;0.44433;0.616
3;10;0.107;0.91128;0.6
3;11;0.106;1.20996;0.581
3;12;0.109;0.65514;0.584
3;13;0.105;0.59677;0.593
3;14;0.107;0.68526;0.594
3;15;0.107;0.9178;0.59
3;16;0.107;0.66813;0.592
3;17;0.109;0.81062;0.595
3;18;0.109;0.71872;0.598
3;19;0.107;0.9274;0.596
3;20;0.11;0.34041;0.608
3;21;0.106;0.57234;0.608
3;22;0.11;0.94122;0.604
3;23;0.107;0.51877;0.612
3;24;0.107;0.79163;0.613
3;25;0.045;0.74779;0.612
4;0;0.224;0.88533;0.546
4;1;0.103;0.82719;0.557
4;2;0.11;0.36094;0.641
