epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;0;1.758;0.075;0.0;1.12083;-0.018
0;1;0.12;0.001;0.0;1.39801;-0.067
0;2;0.27;0.001;5e-07;1.13454;-0.104
0;3;0.336;0.001;1e-06;1.15119;-0.126
0;4;0.253;0.001;1.5e-06;0.98131;-0.116
0;5;0.272;0.001;2e-06;1.00773;-0.098
0;6;0.267;0.001;2.5e-06;0.98502;-0.079
0;7;0.277;0.0;3e-06;0.93252;-0.066
0;8;0.278;0.001;3.4e-06;1.51719;-0.076
0;9;0.271;0.001;3.9e-06;1.41942;-0.08
0;10;0.271;0.001;4.4e-06;1.24144;-0.086
0;11;0.276;0.001;4.9e-06;0.95686;-0.094
0;12;0.274;0.001;5.4e-06;0.96936;-0.077
0;13;0.275;0.001;5.9e-06;1.16676;-0.045
0;14;0.26;0.001;6.4e-06;0.96118;-0.043
0;15;0.281;0.0;6.9e-06;0.66076;-0.037
0;16;0.275;0.001;7.4e-06;0.97105;-0.023
0;17;0.276;0.001;7.9e-06;1.18045;-0.019
0;18;0.272;0.001;8.4e-06;1.06196;-0.017
0;19;0.272;0.001;8.9e-06;1.02093;-0.004
0;20;0.276;0.001;9.4e-06;1.0016;0.008
0;21;0.274;0.001;9.9e-06;1.07259;0.017
0;22;0.274;0.0;1.03e-05;0.93585;0.025
0;23;0.273;0.0;1.08e-05;1.09399;0.03
0;24;0.275;0.0;1.13e-05;1.391;0.041
0;25;0.273;0.001;1.18e-05;0.85482;0.051
0;26;0.274;0.001;1.23e-05;1.01083;0.049
0;27;0.277;0.0;1.28e-05;0.86824;0.053
0;28;0.276;0.001;1.33e-05;1.25805;0.061
0;29;0.277;0.0;1.38e-05;0.83614;0.068
0;30;0.274;0.001;1.43e-05;0.89943;0.074
0;31;0.274;0.0;1.48e-05;1.17321;0.079
0;32;0.275;0.001;1.53e-05;0.99199;0.078
0;33;0.273;0.001;1.58e-05;0.97674;0.086
0;34;0.274;0.0;1.63e-05;0.82535;0.094
0;35;0.277;0.001;1.67e-05;0.91526;0.107
0;36;0.275;0.001;1.72e-05;1.18134;0.098
0;37;0.273;0.0;1.77e-05;0.75534;0.106
0;38;0.276;0.0;1.82e-05;0.80784;0.114
0;39;0.275;0.001;1.87e-05;1.07838;0.122
0;40;0.276;0.0;1.92e-05;1.00783;0.127
0;41;0.272;0.0;1.97e-05;1.03869;0.129
0;42;0.276;0.0;2.02e-05;0.73517;0.134
0;43;0.278;0.001;2.07e-05;0.83949;0.152
0;44;0.272;0.001;2.12e-05;0.8684;0.171
0;45;0.274;0.0;2.17e-05;0.74018;0.183
0;46;0.275;0.001;2.22e-05;0.99607;0.189
0;47;0.278;0.001;2.27e-05;0.77158;0.197
0;48;0.274;0.0;2.32e-05;0.63476;0.209
0;49;0.276;0.0;2.36e-05;0.56218;0.217
0;50;0.272;0.001;2.41e-05;0.46519;0.238
0;51;0.275;0.001;2.46e-05;0.91737;0.239
0;52;0.274;0.001;2.51e-05;0.77452;0.251
0;53;0.274;0.0;2.56e-05;0.38616;0.27
0;54;0.276;0.001;2.61e-05;0.76694;0.275
0;55;0.272;0.001;2.66e-05;0.67557;0.284
0;56;0.274;0.0;2.71e-05;0.87138;0.292
0;57;0.271;0.001;2.76e-05;0.72397;0.297
0;58;0.275;0.001;2.81e-05;1.00912;0.302
0;59;0.268;0.001;2.86e-05;0.81864;0.305
0;60;0.274;0.001;2.91e-05;0.8388;0.308
0;61;0.261;0.001;2.96e-05;0.45501;0.32
0;62;0.282;0.001;3e-05;0.78474;0.325
0;63;0.276;0.0;3.05e-05;0.92124;0.326
0;64;0.274;0.0;3.1e-05;0.90296;0.327
0;65;0.271;0.001;3.15e-05;0.64668;0.331
0;66;0.273;0.0;3.2e-05;0.58372;0.336
0;67;0.273;0.001;3.25e-05;0.81913;0.342
0;68;0.279;0.001;3.3e-05;0.50912;0.346
0;69;0.273;0.001;3.35e-05;0.81114;0.349
0;70;0.275;0.0;3.4e-05;0.61323;0.355
0;71;0.274;0.001;3.45e-05;0.51331;0.361
0;72;0.275;0.001;3.5e-05;1.45644;0.355
0;73;0.273;0.001;3.55e-05;0.7569;0.357
0;74;0.275;0.0;3.6e-05;0.76475;0.36
0;75;0.276;0.001;3.65e-05;0.99589;0.359
0;76;0.275;0.001;3.69e-05;1.42406;0.352
0;77;0.271;0.0;3.74e-05;1.10609;0.349
0;78;0.274;0.001;3.79e-05;0.94939;0.347
0;79;0.276;0.001;3.84e-05;0.87747;0.35
0;80;0.278;0.001;3.89e-05;0.80132;0.353
0;81;0.275;0.0;3.94e-05;1.17118;0.351
0;82;0.275;0.001;3.99e-05;0.95733;0.351
0;83;0.278;0.001;4.04e-05;1.50663;0.346
0;84;0.276;0.001;4.09e-05;0.80301;0.348
0;85;0.275;0.001;4.14e-05;0.76638;0.348
0;86;0.275;0.001;4.19e-05;0.81516;0.35
0;87;0.274;0.0;4.24e-05;1.18414;0.35
0;88;0.275;0.0;4.29e-05;1.27383;0.347
0;89;0.274;0.001;4.33e-05;0.83616;0.349
0;90;0.275;0.0;4.38e-05;0.70944;0.353
0;91;0.274;0.001;4.43e-05;0.7371;0.352
0;92;0.275;0.0;4.48e-05;0.7307;0.353
0;93;0.277;0.001;4.53e-05;0.80766;0.354
0;94;0.277;0.0;4.58e-05;0.76464;0.355
0;95;0.279;0.0;4.63e-05;0.80424;0.355
0;96;0.268;0.001;4.68e-05;0.87865;0.356
0;97;0.274;0.001;4.73e-05;0.81979;0.357
0;98;0.277;0.0;4.78e-05;0.61695;0.358
0;99;0.279;0.001;4.83e-05;0.87854;0.358
0;100;0.271;0.001;4.88e-05;0.85514;0.36
0;101;0.277;0.0;4.93e-05;0.89034;0.361
0;102;0.277;0.001;4.98e-05;0.68191;0.364
0;103;0.278;0.0;5.02e-05;1.04546;0.36
0;104;0.276;0.001;5.07e-05;0.68047;0.361
0;105;0.276;0.0;5.12e-05;0.80181;0.36
0;106;0.276;0.0;5.17e-05;1.10412;0.36
0;107;0.282;0.0;5.22e-05;1.49482;0.356
0;108;0.278;0.0;5.27e-05;0.73003;0.356
0;109;0.278;0.001;5.32e-05;0.91651;0.356
0;110;0.279;0.001;5.37e-05;0.64656;0.358
0;111;0.275;0.001;5.42e-05;0.52891;0.359
0;112;0.277;0.0;5.47e-05;0.74149;0.36
0;113;0.277;0.0;5.52e-05;0.81469;0.361
0;114;0.277;0.001;5.57e-05;0.55669;0.364
0;115;0.276;0.001;5.62e-05;0.70929;0.366
0;116;0.275;0.001;5.67e-05;0.72462;0.367
0;117;0.279;0.001;5.71e-05;0.51223;0.37
0;118;0.274;0.001;5.76e-05;0.80399;0.371
0;119;0.276;0.001;5.81e-05;0.74849;0.374
0;120;0.276;0.001;5.86e-05;0.52373;0.377
0;121;0.275;0.0;5.91e-05;0.69839;0.379
0;122;0.267;0.0;5.96e-05;0.90267;0.381
0;123;0.276;0.001;6.01e-05;0.54416;0.384
0;124;0.288;0.001;6.06e-05;1.18485;0.382
0;125;0.272;0.001;6.11e-05;0.80565;0.383
0;126;0.273;0.001;6.16e-05;0.85891;0.383
0;127;0.273;0.001;6.21e-05;0.87006;0.385
0;128;0.276;0.001;6.26e-05;0.7769;0.387
0;129;0.274;0.0;6.31e-05;0.59372;0.389
0;130;0.275;0.001;6.35e-05;0.82083;0.39
0;131;0.277;0.0;6.4e-05;1.16632;0.39
0;132;0.278;0.001;6.45e-05;0.94885;0.391
0;133;0.275;0.001;6.5e-05;0.82395;0.391
0;134;0.276;0.0;6.55e-05;0.75105;0.391
0;135;0.279;0.001;6.6e-05;1.08853;0.391
0;136;0.28;0.001;6.65e-05;0.6492;0.392
0;137;0.278;0.0;6.7e-05;0.85292;0.392
0;138;0.273;0.001;6.75e-05;0.7943;0.393
0;139;0.279;0.001;6.8e-05;0.86534;0.393
0;140;0.278;0.001;6.85e-05;0.64972;0.393
0;141;0.279;0.001;6.9e-05;0.688;0.394
0;142;0.278;0.001;6.95e-05;0.69421;0.394
0;143;0.282;0.001;7e-05;0.73367;0.395
0;144;0.28;0.001;7.04e-05;0.53221;0.397
0;145;0.278;0.001;7.09e-05;0.46523;0.399
0;146;0.278;0.0;7.14e-05;0.59704;0.401
0;147;0.278;0.0;7.19e-05;0.70929;0.401
0;148;0.275;0.001;7.24e-05;0.5577;0.403
0;149;0.274;0.001;7.29e-05;0.74796;0.404
