epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;0;1.705;0.059;0.0;1.37098;-0.12
0;1;0.205;0.001;0.0;1.38985;0.0
0;2;0.557;0.001;0.0;1.07492;0.002
0;3;0.571;0.001;0.0;1.07113;0.062
0;4;0.567;0.001;0.0;1.26944;0.074
0;5;0.564;0.001;0.0;1.34586;0.142
0;6;0.558;0.001;0.0;1.35082;0.106
0;7;0.557;0.001;0.0;1.11584;0.122
0;8;0.568;0.0;0.0;1.12906;0.133
0;9;0.559;0.001;0.0;1.44979;0.12
0;10;0.57;0.001;0.0;1.18162;0.13
0;11;0.555;0.0;0.0;1.14061;0.13
0;12;0.57;0.0;1e-07;1.52754;0.109
0;13;0.56;0.0;1e-07;1.33498;0.102
0;14;0.563;0.001;1e-07;1.13535;0.106
0;15;0.569;0.0;1e-07;1.32539;0.105
0;16;0.572;0.0;1e-07;1.42524;0.087
0;17;0.571;0.0;1e-07;0.86677;0.101
0;18;0.563;0.001;1e-07;1.2615;0.099
0;19;0.571;0.001;1e-07;1.25775;0.096
0;20;0.577;0.0;1e-07;1.31839;0.097
0;21;0.57;0.0;1e-07;0.94911;0.101
0;22;0.569;0.0;1e-07;1.35137;0.104
0;23;0.576;0.0;1e-07;1.5249;0.088
0;24;0.57;0.0;1e-07;1.41014;0.075
0;25;0.571;0.001;1e-07;1.43545;0.073
0;26;0.576;0.0;1e-07;1.03842;0.079
0;27;0.569;0.0;1e-07;1.19469;0.077
0;28;0.57;0.0;1e-07;1.56838;0.069
0;29;0.569;0.0;1e-07;1.38862;0.066
0;30;0.572;0.001;1e-07;1.18499;0.068
0;31;0.574;0.0;1e-07;1.11422;0.064
0;32;0.574;0.0;2e-07;1.70399;0.056
0;33;0.57;0.0;2e-07;1.17106;0.057
0;34;0.569;0.0;2e-07;1.46362;0.054
0;35;0.574;0.0;2e-07;1.30688;0.054
0;36;0.575;0.0;2e-07;1.27378;0.059
0;37;0.57;0.001;2e-07;1.12427;0.06
0;38;0.575;0.0;2e-07;1.25781;0.056
0;39;0.581;0.0;2e-07;1.30241;0.051
0;40;0.572;0.001;2e-07;1.17757;0.05
0;41;0.574;0.001;2e-07;0.87606;0.058
0;42;0.578;0.0;2e-07;1.35226;0.045
0;43;0.579;0.001;2e-07;1.46174;0.043
0;44;0.571;0.0;2e-07;1.27582;0.051
0;45;0.57;0.001;2e-07;1.13134;0.046
0;46;0.579;0.0;2e-07;1.17934;0.045
0;47;0.582;0.0;2e-07;1.2768;0.043
0;48;0.57;0.001;2e-07;1.04925;0.047
0;49;0.578;0.0;2e-07;1.035;0.05
0;50;0.578;0.001;2e-07;1.50661;0.046
0;51;0.582;0.0;2e-07;1.33465;0.046
0;52;0.573;0.0;3e-07;1.25694;0.044
0;53;0.583;0.001;3e-07;1.05107;0.044
0;54;0.585;0.001;3e-07;1.02089;0.048
0;55;0.572;0.001;3e-07;1.41162;0.043
0;56;0.58;0.0;3e-07;1.21441;0.047
0;57;0.582;0.0;3e-07;1.11609;0.048
0;58;0.583;0.001;3e-07;1.17606;0.048
0;59;0.581;0.001;3e-07;1.40847;0.045
0;60;0.582;0.001;3e-07;1.01917;0.046
0;61;0.582;0.001;3e-07;1.14725;0.049
0;62;0.581;0.001;3e-07;1.2188;0.042
0;63;0.581;0.001;3e-07;1.48972;0.039
0;64;0.586;0.0;3e-07;0.92653;0.039
0;65;0.582;0.0;3e-07;1.40689;0.04
0;66;0.587;0.0;3e-07;1.23822;0.039
0;67;0.581;0.0;3e-07;1.25643;0.042
0;68;0.589;0.001;3e-07;1.19612;0.037
0;69;0.582;0.0;3e-07;0.84389;0.041
0;70;0.584;0.0;3e-07;1.47255;0.035
0;71;0.588;0.0;3e-07;1.18755;0.035
0;72;0.586;0.001;3e-07;1.383;0.035
0;73;0.586;0.0;4e-07;1.25386;0.035
0;74;0.586;0.001;4e-07;1.16048;0.035
0;75;0.593;0.0;4e-07;1.16907;0.037
0;76;0.588;0.0;4e-07;0.95488;0.042
0;77;0.587;0.0;4e-07;1.03401;0.042
0;78;0.581;0.0;4e-07;0.86208;0.042
0;79;0.583;0.0;4e-07;1.28399;0.04
0;80;0.587;0.001;4e-07;1.44956;0.037
0;81;0.594;0.0;4e-07;1.41454;0.038
0;82;0.586;0.0;4e-07;1.26724;0.038
0;83;0.588;0.0;4e-07;1.04797;0.037
0;84;0.588;0.0;4e-07;1.09326;0.037
0;85;0.589;0.0;4e-07;1.33644;0.033
0;86;0.592;0.0;4e-07;1.06555;0.032
0;87;0.595;0.001;4e-07;1.21013;0.035
0;88;0.583;0.0;4e-07;1.5794;0.035
0;89;0.587;0.0;4e-07;1.08483;0.035
0;90;0.592;0.001;4e-07;0.78761;0.038
0;91;0.591;0.001;4e-07;0.70006;0.042
0;92;0.589;0.0;4e-07;1.05788;0.043
0;93;0.594;0.001;5e-07;1.13403;0.044
0;94;0.591;0.001;5e-07;1.02645;0.043
0;95;0.593;0.001;5e-07;1.31785;0.042
0;96;0.594;0.0;5e-07;0.7936;0.045
0;97;0.595;0.001;5e-07;0.74532;0.046
0;98;0.594;0.0;5e-07;0.9525;0.046
0;99;0.598;0.0;5e-07;1.21971;0.046
0;100;0.592;0.0;5e-07;1.36116;0.045
0;101;0.591;0.001;5e-07;0.81005;0.046
0;102;0.599;0.0;5e-07;1.12389;0.045
0;103;0.595;0.0;5e-07;1.23212;0.042
0;104;0.597;0.0;5e-07;0.90076;0.044
0;105;0.603;0.0;5e-07;1.04809;0.045
0;106;0.594;0.001;5e-07;0.83843;0.048
0;107;0.594;0.0;5e-07;1.00042;0.049
0;108;0.598;0.0;5e-07;1.15392;0.047
0;109;0.597;0.0;5e-07;1.08761;0.046
0;110;0.595;0.001;5e-07;1.23821;0.044
0;111;0.598;0.0;5e-07;1.18697;0.044
0;112;0.591;0.0;5e-07;0.97608;0.044
0;113;0.601;0.0;6e-07;1.0975;0.044
0;114;0.598;0.0;6e-07;1.04098;0.045
0;115;0.597;0.0;6e-07;0.86889;0.046
0;116;0.601;0.0;6e-07;1.18028;0.045
0;117;0.593;0.0;6e-07;0.80891;0.047
0;118;0.597;0.0;6e-07;1.27899;0.046
0;119;0.602;0.001;6e-07;1.06029;0.045
0;120;0.598;0.001;6e-07;1.23938;0.043
0;121;0.601;0.001;6e-07;0.72966;0.046
0;122;0.597;0.0;6e-07;1.28922;0.046
0;123;0.6;0.0;6e-07;0.75077;0.05
0;124;0.604;0.001;6e-07;0.9329;0.05
0;125;0.601;0.0;6e-07;1.38944;0.05
0;126;0.598;0.0;6e-07;0.90454;0.052
0;127;0.602;0.0;6e-07;0.94791;0.053
0;128;0.602;0.0;6e-07;1.01711;0.054
0;129;0.61;0.0;6e-07;1.15911;0.055
0;130;0.598;0.001;6e-07;1.21862;0.053
0;131;0.604;0.001;6e-07;0.77467;0.054
0;132;0.6;0.0;6e-07;1.03798;0.055
0;133;0.607;0.0;7e-07;0.82699;0.056
0;134;0.597;0.0;7e-07;0.96967;0.056
0;135;0.605;0.001;7e-07;1.09883;0.055
0;136;0.601;0.0;7e-07;0.67254;0.056
0;137;0.613;0.0;7e-07;1.02615;0.058
0;138;0.601;0.001;7e-07;1.22359;0.058
0;139;0.606;0.001;7e-07;1.12849;0.057
0;140;0.61;0.001;7e-07;1.1588;0.057
