epoch;batch;time;loss;pearson_correlation
0;0;0.524;1.13788;0.145
0;1;0.201;1.21139;0.21
0;2;0.204;0.88847;0.234
0;3;0.204;0.94498;0.23
0;4;0.202;0.95786;0.196
0;5;0.199;1.035;0.198
0;6;0.2;0.98271;0.174
0;7;0.205;0.62561;0.167
0;8;0.204;0.85705;0.173
0;9;0.2;0.76245;0.177
0;10;0.197;0.78726;0.184
0;11;0.2;0.93728;0.197
0;12;0.204;0.8403;0.205
0;13;0.205;0.98697;0.221
0;14;0.201;0.90844;0.227
0;15;0.198;0.99345;0.226
0;16;0.2;0.88942;0.217
0;17;0.203;1.12079;0.228
0;18;0.206;1.138;0.22
0;19;0.201;1.0929;0.228
0;20;0.198;1.05402;0.226
0;21;0.201;0.77903;0.226
0;22;0.204;0.95277;0.224
0;23;0.205;1.33782;0.214
0;24;0.2;1.1261;0.208
0;25;0.086;0.91035;0.204
1;0;0.523;1.07842;0.344
1;1;0.206;1.14132;0.37
1;2;0.207;0.83651;0.386
1;3;0.206;0.92031;0.365
1;4;0.201;0.97852;0.311
1;5;0.201;0.99054;0.31
1;6;0.201;0.98099;0.279
1;7;0.207;0.61804;0.271
1;8;0.205;0.79498;0.288
1;9;0.204;0.7447;0.289
1;10;0.204;0.76166;0.3
1;11;0.205;0.91298;0.306
1;12;0.207;0.80476;0.316
1;13;0.204;0.93944;0.331
1;14;0.2;0.89969;0.335
1;15;0.2;0.95817;0.331
1;16;0.202;0.85962;0.327
1;17;0.207;1.05969;0.336
1;18;0.206;1.09572;0.329
1;19;0.203;1.05148;0.334
1;20;0.205;1.02545;0.338
1;21;0.205;0.76523;0.339
1;22;0.204;0.90626;0.336
1;23;0.203;1.27223;0.331
1;24;0.201;1.08995;0.325
1;25;0.082;0.92131;0.321
2;0;0.522;1.04738;0.439
2;1;0.204;1.11353;0.451
2;2;0.206;0.79701;0.458
2;3;0.206;0.8873;0.432
2;4;0.201;0.96139;0.373
2;5;0.2;0.97374;0.366
2;6;0.2;0.96895;0.332
2;7;0.207;0.60217;0.323
2;8;0.205;0.75268;0.345
2;9;0.203;0.71783;0.346
2;10;0.204;0.71401;0.358
2;11;0.204;0.88756;0.361
2;12;0.209;0.7654;0.371
2;13;0.204;0.89034;0.386
2;14;0.2;0.8513;0.389
2;15;0.2;0.93995;0.384
2;16;0.204;0.8168;0.382
2;17;0.206;1.03085;0.39
2;18;0.203;1.07417;0.383
2;19;0.2;1.01032;0.387
2;20;0.199;0.95425;0.394
2;21;0.204;0.72706;0.395
2;22;0.205;0.89268;0.392
