epoch;batch;time;data;learning_rate;loss;pearson_correlation
0;0;1.471;0.054;0.0;1.1214;0.013
0;1;0.212;0.001;0.0;1.25501;0.033
0;2;0.565;0.0;0.0;0.89572;0.0
0;3;0.579;0.001;0.0;1.29929;-0.021
0;4;0.578;0.0;0.0;1.2402;-0.005
0;5;0.572;0.0;0.0;1.18972;0.036
0;6;0.579;0.0;0.0;0.83247;-0.002
0;7;0.579;0.0;0.0;1.22874;-0.027
0;8;0.569;0.001;0.0;1.22119;-0.006
0;9;0.574;0.0;0.0;1.21284;-0.006
0;10;0.582;0.001;0.0;0.98865;0.022
0;11;0.576;0.001;0.0;1.25867;0.02
0;12;0.578;0.0;1e-07;0.98823;0.024
0;13;0.575;0.001;1e-07;1.35889;0.02
0;14;0.579;0.0;1e-07;1.10921;0.003
0;15;0.58;0.0;1e-07;1.03738;0.009
0;16;0.581;0.0;1e-07;1.13624;0.019
0;17;0.579;0.0;1e-07;1.38946;0.032
0;18;0.582;0.0;1e-07;1.2708;0.024
0;19;0.579;0.0;1e-07;1.35817;0.013
0;20;0.586;0.001;1e-07;0.71844;0.021
0;21;0.58;0.0;1e-07;1.12498;0.025
0;22;0.581;0.0;1e-07;0.87731;0.037
0;23;0.582;0.001;1e-07;1.02252;0.037
0;24;0.591;0.0;1e-07;1.12487;0.044
0;25;0.58;0.001;1e-07;0.75382;0.036
0;26;0.59;0.0;1e-07;0.9037;0.034
0;27;0.587;0.0;1e-07;1.37252;0.021
0;28;0.587;0.0;1e-07;1.39008;0.017
0;29;0.589;0.001;1e-07;0.98341;0.03
0;30;0.588;0.0;1e-07;0.95313;0.026
0;31;0.587;0.0;1e-07;1.00368;0.015
0;32;0.587;0.0;2e-07;1.23251;0.015
0;33;0.59;0.001;2e-07;0.8967;0.014
0;34;0.591;0.0;2e-07;1.22015;0.003
0;35;0.588;0.0;2e-07;1.38714;-0.005
0;36;0.593;0.0;2e-07;1.15449;-0.002
0;37;0.591;0.001;2e-07;0.96709;-0.01
0;38;0.594;0.001;2e-07;1.19425;-0.015
0;39;0.592;0.001;2e-07;0.72583;-0.014
0;40;0.59;0.001;2e-07;1.19826;-0.016
0;41;0.6;0.0;2e-07;0.62349;-0.014
0;42;0.588;0.0;2e-07;1.33935;-0.013
0;43;0.601;0.0;2e-07;1.04321;-0.014
0;44;0.592;0.0;2e-07;0.95738;-0.02
0;45;0.596;0.0;2e-07;1.08645;-0.018
0;46;0.599;0.0;2e-07;0.9702;-0.011
0;47;0.596;0.001;2e-07;1.70433;-0.01
0;48;0.599;0.001;2e-07;1.37661;-0.011
0;49;0.595;0.0;2e-07;0.94709;-0.012
0;50;0.6;0.001;2e-07;0.95759;-0.012
0;51;0.595;0.0;2e-07;1.48286;-0.021
0;52;0.6;0.0;3e-07;1.0029;-0.021
0;53;0.597;0.0;3e-07;0.92738;-0.02
0;54;0.599;0.0;3e-07;0.85416;-0.02
0;55;0.599;0.0;3e-07;0.79006;-0.015
0;56;0.601;0.0;3e-07;0.92452;-0.015
0;57;0.604;0.0;3e-07;1.15737;-0.016
0;58;0.595;0.0;3e-07;1.05359;-0.014
0;59;0.605;0.0;3e-07;1.09513;-0.01
